ent_num,SDN_name,SDN_type,Program,Title,Call_Sign,Vess_type,Tonnage,GRT,Vess_flag,Vess_owner,Remarks
1571,"NORDSTRAND MARITIME AND TRADING COMPANY",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
1641,"PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
1660,"PESCABRAVA, S.A.",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
1700,"PRELASA",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
1701,"PRENSA LATINA CANADA LTD.",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
1702,"PRENSA LATINA",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
1888,"SERVINAVES, S.A.",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
2109,"TROBER, S.A.",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
2110,"TROPIC TOURS GMBH",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
2184,"VIAJES GUAMA, S.A.",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
2186,"VINALES TOURS",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
2674,"ABBAS, Abu","individual","SDGT","Director of PALESTINE LIBERATION FRONT - ABU ABBAS FACTION",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 10 Dec 1948; Director of PALESTINE LIBERATION FRONT - ABU ABBAS FACTION."
2675,"AL RAHMAN, Shaykh Umar Abd","individual","SDGT","Chief Ideological Figure of ISLAMIC GAMA'AT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 03 May 1938; POB Egypt; Chief Ideological Figure of ISLAMIC GAMA'AT."
2676,"AL ZAWAHIRI, Dr. Ayman","individual","SDGT","Operational and Military Leader of JIHAD GROUP",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 19 Jun 1951; POB Giza, Egypt; Passport 1084010 (Egypt); alt. Passport 19820215; Operational and Military Leader of JIHAD GROUP."
2677,"AL-ZOMOR, Abboud Abdul Latif Hassan","individual","SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 19 Apr 1947; POB Nahia, Giza, Egypt; nationality Egypt; Gender Male."
2678,"AWDA, Abd Al Aziz","individual","SDGT","Chief Ideological Figure of PALESTINIAN ISLAMIC JIHAD - SHIQAQI",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1946; Chief Ideological Figure of PALESTINIAN ISLAMIC JIHAD - SHIQAQI."
2679,"FADLALLAH, Shaykh Muhammad Husayn","individual","SDGT","Leading Ideological Figure of HIZBALLAH",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1938; alt. DOB 1936; POB Najf Al Ashraf (Najaf), Iraq; Additional Sanctions Information - Subject to Secondary Sanctions Pursuant to the Hizballah Financial Sanctions Regulations; Leading Ideological Figure of HIZBALLAH."
2681,"HAWATMA, Nayif","individual","SDGT","Secretary General of DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1933; Secretary General of DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION."
2682,"ISLAMBOULI, Mohammad Shawqi","individual","SDGT","Military Leader of ISLAMIC GAMA'AT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 15 Jan 1955; POB Egypt; Passport 304555 (Egypt); Military Leader of ISLAMIC GAMA'AT."
2683,"JABRIL, Ahmad","individual","SDGT","Secretary General of POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1938; POB Ramleh, Israel; Secretary General of POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND."
2685,"NAJI, Talal Muhammad Rashid","individual","SDGT","Principal Deputy of POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1930; POB Al Nasiria, Palestine; Principal Deputy of POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND."
2686,"NASRALLAH, Hasan","individual","SDGT] [SYRIA","Secretary General of Hizballah",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 31 Aug 1960; alt. DOB 31 Aug 1953; alt. DOB 31 Aug 1955; alt. DOB 31 Aug 1958; POB Al Basuriyah, Lebanon; Additional Sanctions Information - Subject to Secondary Sanctions Pursuant to the Hizballah Financial Sanctions Regulations; Gender Male; Passport 042833 (Lebanon); Secretary General of Hizballah; Linked To: HIZBALLAH."
2690,"TUFAYLI, Subhi","individual","SDGT","Former Secretary General and Current Senior Figure of HIZBALLAH",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1947; POB Biqa Valley, Lebanon; Former Secretary General and Current Senior Figure of HIZBALLAH."
2691,"YASSIN, Sheik Ahmed Ismail","individual","SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1938; POB al-Jawrah, al-Majdal District, Gaza."
3748,"COBALT REFINERY CO. INC.",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
3749,"LA COMPANIA GENERAL DE NIQUEL",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
3750,"INTERNATIONAL COBALT CO. INC.",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
3751,"MOA NICKEL SA",-0- ,"CUBA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
3754,"ABU MARZOOK, Mousa Mohammed","individual","SDGT","Political Leader in Amman, Jordan and Damascus, Syria for HAMAS",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 09 Feb 1951; POB Gaza, Egypt; Passport 92/664 (Egypt); SSN 523-33-8386 (United States); Political Leader in Amman, Jordan and Damascus, Syria for HAMAS; a.k.a. 'ABU-'UMAR'."
4107,"RODRIGUEZ OREJUELA, Gilberto Jose","individual","SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 31 Jan 1939; Cedula No. 6068015 (Colombia); alt. Cedula No. 6067015 (Colombia); Passport T321642 (Colombia); alt. Passport 6067015 (Comoros); alt. Passport 77588 (Argentina); alt. Passport 10545599 (Venezuela); a.k.a. 'THE CHESS PLAYER'; a.k.a. 'LUCAS'."
4108,"RODRIGUEZ OREJUELA, Miguel Angel","individual","SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 23 Nov 1943; alt. DOB 15 Jul 1943; Cedula No. 6095803 (Colombia); a.k.a. 'EL SENOR'; a.k.a. 'PATRICIA'; a.k.a. 'PATRICIO'; a.k.a. 'PATTY'; a.k.a. 'PAT'; a.k.a. 'MANUEL'; a.k.a. 'MANOLO'; a.k.a. 'MIKE'; a.k.a. 'MAURO'; a.k.a. 'DOCTOR M.R.O.'."
4238,"MAR AZUL","vessel","CUBA",-0- ,"CL2192","Tug",-0- ,"212","Cuba","Samir de Navegacion S.A.",-0- 
4243,"EBANO","vessel","CUBA",-0- ,-0- ,"General Cargo","2595","1865","Panama",-0- ,"Vessel Registration Identification IMO 7406784; f.k.a. 'ANA I'; f.k.a. 'SAND SWAN'."
4249,"TIFON","vessel","CUBA",-0- ,"CL2059","Tug",-0- ,"189","Cuba",-0- ,"Vessel Registration Identification IMO 7206512."
4257,"ABDALLAH, Ramadan","individual","SDGT","Secretary General of the PALESTINIAN ISLAMIC JIHAD",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 01 Jan 1958; POB Gaza City, Gaza Strip; Passport 265 216 (Egypt); SSN 589-17-6824 (United States); Secretary General of the PALESTINIAN ISLAMIC JIHAD."
4632,"BANK MARKAZI JOMHOURI ISLAMI IRAN",-0- ,"IRAN] [SDGT] [IRGC] [IFSR",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE; Linked To: HIZBALLAH."
4633,"BANK MASKAN",-0- ,"IRAN] [IRAN-EO13902",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Website www.bank-maskan.ir; Additional Sanctions Information - Subject to Secondary Sanctions; all offices worldwide."
4635,"BANK REFAH KARGARAN",-0- ,"IRAN] [IRAN-EO13902",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Website www.bankrefah.ir; alt. Website www.refah-bank.ir; Additional Sanctions Information - Subject to Secondary Sanctions; all offices worldwide."
4639,"BANK KESHAVARZI IRAN",-0- ,"IRAN] [IRAN-EO13902",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Website www.agri-bank.com; alt. Website www.bki.ir; Additional Sanctions Information - Subject to Secondary Sanctions; all offices worldwide."
4642,"BANK SADERAT PLC",-0- ,"IRAN] [SDGT] [IFSR",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Additional Sanctions Information - Subject to Secondary Sanctions; UK Company Number 01126618 (United Kingdom); all offices worldwide."
4688,"ABU SAYYAF GROUP",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
4690,"ARMED ISLAMIC GROUP",-0- ,"SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"a.k.a. 'GIA'."
4691,"AUM SHINRIKYO",-0- ,"SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
4693,"EUZKADI TA ASKATASUNA",-0- ,"SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"a.k.a. 'ETA'; a.k.a. 'K.A.S.'."
4694,"GAMA'A AL-ISLAMIYYA",-0- ,"SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"a.k.a. 'IG'; a.k.a. 'GI'."
4695,"HAMAS",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
4696,"HARAKAT UL-MUJAHIDEEN",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"a.k.a. 'HUA'; a.k.a. 'HUM'."
4697,"HIZBALLAH",-0- ,"FTO] [SDGT] [SYRIA",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Additional Sanctions Information - Subject to Secondary Sanctions Pursuant to the Hizballah Financial Sanctions Regulations; a.k.a. 'LH'; a.k.a. 'FOREIGN RELATIONS DEPARTMENT'; a.k.a. 'FRD'; a.k.a. 'EXTERNAL SECURITY ORGANIZATION'; a.k.a. 'ESO'; a.k.a. 'FOREIGN ACTION UNIT'; a.k.a. 'SPECIAL OPERATIONS BRANCH'; a.k.a. 'EXTERNAL SERVICES ORGANIZATION'."
4700,"KAHANE CHAI",-0- ,"SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"a.k.a. 'CARD'."
4702,"KURDISTAN WORKERS' PARTY",-0- ,"SDNTK] [FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"a.k.a. 'HSK'; a.k.a. 'KHK'."
4703,"LIBERATION TIGERS OF TAMIL EELAM",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
4706,"NATIONAL LIBERATION ARMY",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
4707,"PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
4708,"PALESTINE LIBERATION FRONT - ABU ABBAS FACTION",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
4709,"POPULAR FRONT FOR THE LIBERATION OF PALESTINE",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
4710,"POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
4713,"REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
4714,"REVOLUTIONARY PEOPLE'S STRUGGLE",-0- ,"SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"a.k.a. 'ELA'; a.k.a. 'JUNE 78'."
4715,"SHINING PATH",-0- ,"SDNTK] [FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"a.k.a. 'SL'; a.k.a. 'PCP'; a.k.a. 'EPL'."
4717,"DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION",-0- ,"SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
6365,"BIN LADIN, Usama bin Muhammad bin Awad","individual","SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 30 Jul 1957; alt. DOB 1958; POB Jeddah, Saudi Arabia; alt. POB Yemen."
6366,"AL QA'IDA",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
6367,"AL-MASRI, Abu Hafs","individual","SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1951; alt. DOB 1956; alt. DOB 1944; POB Alexandria, Egypt; a.k.a. 'TAYSIR'; a.k.a. 'ABU HAFS'."
6368,"MUSA, Rifa'i Ahmad Taha","individual","SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 24 Jun 1954; POB Egypt; Passport 83860 (Sudan); alt. Passport 30455 (Egypt); alt. Passport 1046403 (Egypt); a.k.a. ''ABD-AL-'IZ'; a.k.a. 'ABU YASIR'."
6531,"COLOMBIANA DE CERDOS LTDA.",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 800018928-0 (Colombia)."
6539,"DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 800117780-2 (Colombia)."
6550,"MATADERO METROPOLITANO LTDA.",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 891412986-8 (Colombia)."
6635,"OMAR, Mohammed","individual","SDGT","Commander of the Faithful ('Amir al-Munineen')",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1950; POB Hotak, Kandahar Province, Afghanistan; Commander of the Faithful ('Amir al-Munineen')."
6636,"TALIBAN",-0- ,"SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
6663,"COMERCIALIZADORA DE CARNES LTDA.",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 800076369-0 (Colombia)."
6680,"SERVIAUTOS UNO A 1A LIMITADA",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 800032413-8 (Colombia)."
6703,"AMEZCUA CONTRERAS, Jose de Jesus","individual","SDNTK",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 31 Jul 1964; alt. DOB 31 Jul 1964; alt. DOB 31 Jul 1965; POB Mexico."
6704,"AMEZCUA CONTRERAS, Luis Ignacio","individual","SDNTK",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 22 Feb 1964; alt. DOB 21 Feb 1964; alt. DOB 21 Feb 1974; POB Mexico."
6706,"ARELLANO FELIX, Ramon Eduardo","individual","SDNTK",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 31 Aug 1964; POB Mexico."
6707,"CARO QUINTERO, Rafael","individual","SDNTK",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 12 Dec 1952; alt. DOB 24 Nov 1955; alt. DOB 24 Oct 1955; POB Mexico."
6708,"CARRILLO FUENTES, Vicente","individual","SDNTK",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 16 Oct 1962; POB Mexico."
6709,"CHANG, Chi Fu","individual","SDNTK",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 17 Feb 1933; alt. DOB 07 Jan 1932; alt. DOB 12 Feb 1932; POB Burma."
6710,"HEATH, Noel Timothy","individual","SDNTK",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 16 Dec 1949; POB St Kitts and Nevis; Passport 03574 (United Kingdom)."
6712,"OGUNGBUYI, Oluwole A.","individual","SDNTK",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 04 Mar 1953; POB Nigeria."
6713,"OGUNGBUYI, Abeni O.","individual","SDNTK",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 30 Jun 1952; POB Nigeria."
6714,"WEI, Hsueh Kang","individual","SDNTK",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 29 Jun 1952; alt. DOB 29 May 1952; Passport Q081061 (Thailand); alt. Passport E091929 (Thailand)."
6715,"ARELLANO FELIX, Benjamin Alberto","individual","SDNTK",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 12 Mar 1952; alt. DOB 08 Nov 1954; alt. DOB 11 Aug 1955; POB Mexico."
6717,"HENAO MONTOYA, Arcangel de Jesus","individual","SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 07 Oct 1954; POB Cartago, Valle, Colombia; Cedula No. 16215230 (Colombia); Passport 16215230 (Colombia); NIT # 16215230-1 (Colombia)."
6718,"RAMIREZ ABADIA, Juan Carlos","individual","SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 16 Feb 1963; Cedula No. 16684736 (Colombia); Passport AD127327 (Colombia)."
6719,"AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 800021615-1 (Colombia)."
6720,"COMPANIA AGROINVERSORA HENAGRO LTDA.",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 800084326-8 (Colombia)."
6721,"DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 800160475-2 (Colombia)."
6722,"MAQUINARIA TECNICA Y TIERRAS LTDA.",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 800084233-1 (Colombia)."
6723,"ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 800157331-1 (Colombia)."
6724,"GONZALEZ BENITEZ, Olga Patricia","individual","SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 04 Aug 1965; POB Cartago, Valle Colombia; Cedula No. 29503761 (Colombia); Passport AH567983 (Colombia); alt. Passport 29503761 (Colombia)."
6725,"ISLAMIC MOVEMENT OF UZBEKISTAN",-0- ,"FTO] [SDGT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"a.k.a. 'IMU'."
6726,"CAVIEDES DILEO Y CIA. S.C.S.",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 800113437-2 (Colombia)."
6823,"PATINO FOMEQUE, Victor Julio","individual","SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 31 Jan 1959; Cedula No. 16473543 (Colombia)."
6824,"INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 890302172-4 (Colombia)."
6826,"GALAPAGOS S.A",-0- ,"SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"NIT # 800183712-2 (Colombia)."
6831,"DUQUE BOTERO, Jorge Alirio","individual","SDNT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 04 Jun 1949; Cedula No. 6160843 (Colombia)."
